bet,Paper Name:,Reviewer Name,DOI (of paper),"Link to artefact repository (Github, Zenodo, Figshare etc)",Year Published:,Venue,Institution (if applicable),Research Area:,Which (if any) ACM Badges does the report have?,Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?,F1. Software is assigned a globally unique and persistent identifier (DOI),"If F1 is met, please input the DOI of the latest version",F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,F1.2. Different versions of the software are assigned distinct identifiers.,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Has the software artefact been mentioned or cited in the paper for ease of findability?,Please input any links to GitHub if available,Any additional notes for F?,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),"A1.1. The protocol is open, free, and universally implementable.","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.","A2. Metadata are accessible, even when the software is no longer available.",A1 follow-up: Which of these protocols are available to download the software?,Does the software require the use of any 3rd party tools in order to retrieve it?,Does the software metadata (i.e. README) describe how to retrieve the artefact?,Is the software source code available?,Has the software been deployed onto a web server (if feasible)?,Any additional notes for A?,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Has sufficient effort been made to allow integration via APIs or interfaces with other tools?,Any additional notes for I?,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",(R1) Please list the software attributes in the repository.,R1.1. Software is given a clear and accessible license.,R1.2. Software is associated with detailed provenance (version history).,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks","R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",R2 follow-up: Is there a file / project manager tool to help with the installation of other software / libraries?,Does the software require the use of any 3rd party tools in order to execute it?,Is the software itself documented well? Which of the following code readability standards have been implemented?,Have any containerisation engines / orchestrators been employed in the reuse of the software?,Is the software sufficiently modular?,"Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?",Any additional notes for R?,Anything else to note?,How long did this form take to complete?
21/03/2026 20:00:10,TraceFL: Interpretability-Driven Debugging in Federated Learning via Neuron Provenance,Jed,10.1109/ICSE55347.2025.00128,https://figshare.com/articles/software/TraceFL/28293218?file=52384418,2025,ICSE,"Virginia Tech, University of Minnesota","Interpretability, Explainability, Debugging, Machine Learning, Federated Learning, Transformer","Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.6084/m9.figshare.28293218,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/SEED-VT/TraceFL,F1.1: Files are small enough that no seperate DOI is needed; Also there seems to be two githubs for the paper?,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Very easy to use repository,Yes,Yes,No: infeasible,"I1: Was not fully able to verify, but seems to be the case, YAML files used for config;",Yes,"README, LICENSE",Yes,Yes,Yes,Yes,pyproject.toml,No,"Docstrings, Inline comments",google colab,Yes,Yes,Very well presented repository,"Very good example of optimal fair compliance, in every aspect",00:10:00
23/03/2026 15:02:43,A First Look at Conventional Commits Classification,Jed,10.1109/ICSE55347.2025.00011,https://figshare.com/articles/dataset/A_First_Look_at_Conventional_Commits_Classification/26507083?file=49041904,2025,ICSE,Beijing Institute of Technology,"Commit Classification, Conventional Commits, Large Language Model",,Yes,Yes,https://doi.org/10.6084/m9.figshare.26507083,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/0x404/conventional-commit-classification,"F1.1: Dataset is not large enough to warrant an additional identifier; artefact DOI linked in paper, AND linked in github readme",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,"detailed README, paper pdf",No,No,Yes,No,requirements.txt (pip),No,,,Yes,Yes,Surprisingly no license; 3rd party software: I think you can run with their experimental data and avoid needing an LLM key,"Surprising that this paper has no ACM badges - very solid F, A and I, though lacking somewhat for the R criteria",00:09:00
23/03/2026 15:29:50,Chatgpt Inaccuracy Mitigation During Technical Report Understanding: Are we There Yet?,Jed,10.1109/ICSE55347.2025.00145,https://anonymous.4open.science/r/CHIME---ChatGPT-Inaccuracy-Mitigation-Engine-DEDC/README.md,2025,ICSE,"University of Calgary, York University, IBM","ChatGPT, Hallucination, Software Issue Reports",,Yes,No,,No,No,No,No,No,Yes,https://anonymous.4open.science/r/CHIME---ChatGPT-Inaccuracy-Mitigation-Engine-DEDC/README.md,"Anonymised github repository, no DOI; F2: Metadata lacks detail",Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,I2: No external databases used,No,"short README, LICENSE",Yes,No,No: program uses external libraries but are not referenced appropriately,Yes,,No,"Docstrings, Inline comments",,Yes,Yes,"Well documented, good code commenting","Anonymised github, no DOI, very small software artefact",00:08:00
23/03/2026 15:43:07,ROSA: Finding Backdoors with Fuzzing,Jed,10.1109/ICSE55347.2025.00183, https://zenodo.org/records/14724251,2025,ICSE,"Universite Paris-Saclay, CEA, List, LTCI, Tel´ ecom Paris, Institut Polytechnique de Paris","fuzzing, dynamic analysis, metamorphic testing, backdoors, vulnerability detection","Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14724251,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/binsec/rosa,"F1.1: Artefact is small, so putting it all in one identifier is ok; F1.2: Only one published version of the software, so no need for multiple identifiers.",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,"I1: Hard to verify whether this is true, pretty sure it is",Yes,"LICENSE, README, CONTRIBUTING, CITATION, AUTHORS",Yes,Yes,No: program uses external libraries but are not referenced appropriately,Yes,,No,"Docstrings, Inline comments",Docker,Yes,Yes,R2:Libraries used are not properly referenced,"Good compliance, couple areas to improve but great effort",00:12:00
23/03/2026 15:53:54,Analyzing the Feasibility of Adopting Google's Nonce-Based CSP Solutions on Websites,Jed,10.1109/ICSE55347.2025.00193,https://zenodo.org/records/14873743,2025,ICSE,Colorado School of Mines,"Security, Web",Artefact Available,Yes,Yes,https://doi.org/10.5281/zenodo.14873743,Yes,Yes,Yes,Yes,Yes,Yes,,F1.1: Artefact is small enough that a single identifier is sufficient,Yes,Yes,Not necessary,Software is currently available,Download,No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,"READMEs for each section, LICENSE",Yes,Yes,No: program uses external libraries but are not referenced appropriately,Yes,,No,Inline comments,,Yes,No,"R1.2: Four versions of the software are shared, which counts as version history in my opinion, but open to debate; R2: No references to external libraries; R3: Good commenting, if inconsistent.","When downloading and extracting, i had a few issues where files would not be extracted as the file name was too long or the file path was too deep. Luckily i am not actually trying to reproduce anything or use the software, but that seems like a big issue. Might be a windows thing.",00:10:00
23/03/2026 16:54:19,Early Detection of Performance Regressions by Bridging Local Performance Data and Architectural Models,Jed,10.1109/ICSE55347.2025.00026,https://zenodo.org/records/13135986,2025,ICSE,"Memorial University of Newfoundland, Concordia University, University of Wurzburg, Polytechnique Montreal, University of Alberta,  University of Hamburg, University of Waterloo","performance regression, regression testing, performance modeling, performance engineering",,Yes,Yes,https://doi.org/10.5281/zenodo.13135986,Yes,Yes,No,Yes,Yes,Yes,,"F2: Metadata does not include paper name, making it hard to find online with a google search. Would have struggled to find without the citation in the paper",Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,,Artefact Unavailable,No: no datasets used,No: infeasible,"I1: I have no clue - there are 'jmx' files in the scripts directory and nothing else really, I don't know how this software works",No,very short README,Yes,No,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,No,"R2, R3, etc: Not sure, as i was unable to see the source code","Confusing repository, no documentation to help understand it. However, did have a DOI",00:07:00
23/03/2026 16:59:13,Practical Object-Level Sanitizer with Aggregated Memory Access and Custom Allocator,Jed,10.1109/ICSE55347.2025.00213,,2025,ICSE,National University of Defense Technology,"Performance, Bug detection, Security and QA",,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Could not find a repository for the software,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"Could not find a repository, despite the paper mentioning 'OLAsan' which should mean an artefact is produced.",00:04:00
23/03/2026 17:06:03,GVI: Guided Vulnerability Imagination for Boosting Deep Vulnerability Detectors,Jed,10.1109/ICSE55347.2025.00214,https://github.com/GVI24/GVI,2025,ICSE,Nanjing University,"AI, Security, LLMs",,Yes,No,,No,No,Yes,No,No,Yes,https://github.com/GVI24/GVI,"Very easy to find, but only a github",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,Yes,No: infeasible,"I1: xlsx files used, seems to be somewhat standard from other projects ive seen",No,README,No,No,Yes,No,,No,Inline comments,,Yes,Yes,"R3: Some comments, but not many, and some of those are in chinese. Documentation could be improved","Decently organised, but a github, no DOI. Very easy to find. Also linked in paper",00:06:00
24/03/2026 00:29:06,Decoding Secret Memorization in Code LLMs Through Token-Level Characterization,Jed,10.1109/ICSE55347.2025.00229,https://github.com/jiangsha97/DESEC,2025,ICSE,"Beijing University of Posts and Telecommunications, Nanyang Technological University, Huazhong University of Science and Technology, Harbin Institute of Technology","LLMs, Security",,Yes,No,,No,No,No,No,No,Yes,https://github.com/jiangsha97/DESEC,"Hard to find, only possible thanks to the link in the paper",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,No,README,No,No,No: program uses external libraries but are not referenced appropriately,Yes,,No,Inline comments,,Yes,Yes,,"Github only, no DOI, documentation lacking, weak metadata",00:07:00
24/03/2026 00:35:49,Are We Learning the Right Features? A Framework for Evaluating DL-Based Software Vulnerability Detection Solutions,Jed,10.1109/ICSE55347.2025.00194,https://zenodo.org/records/14838016,2025,ICSE,University of Southern California,"vulnerability detection, deep learning, software security, explainable AI","Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14838016,Yes,Yes,Yes,Yes,Yes,Yes,,"F1.1, F1.2: No need for multiple separate identifiers, artefact is small",Yes,Yes,Not necessary,Software is currently available,Download,No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,"README, LICENSE",Yes,Yes,Yes,No,requirements.txt (pip),No,,,Yes,Yes,"R3: Code commenting not good enough, though the documentation is solid","Very FAIR project, unfortunately lacking good code comments at least in some areas",00:06:00
24/03/2026 00:43:29,Boosting Static Resource Leak Detection via LLM-based Resource-Oriented Intention Inference,Jed,10.1109/ICSE55347.2025.00131,https://github.com/cs-wangchong/InferROI-Replication,2025,ICSE,"Fudan University, Nanyang Technological University","LLMs, Security",,Yes,No,,No,No,No,No,No,Yes,https://github.com/cs-wangchong/InferROI-Replication,"Cited in paper, but no DOI",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,"I1: .log files, which seem to be quite standard. Might be wrong",No,README,No,No,No: program uses external libraries but are not referenced appropriately,No,requirements.txt (pip),Yes,Inline comments,,Yes,No,"R2: requirements.txt does not have versions for the libraries (which in my opinion is the minimum needed for a 'qualified' reference); R3: Not enough comments, weak documentation","No DOI, not great fair compliance overall",00:07:00
24/03/2026 15:23:16,Weakly-Supervised Log-Based Anomaly Detection with Inexact Labels via Multi-Instance Learning,Jed,10.1109/ICSE55347.2025.00189,https://github.com/hemh02/MIDLog,2025,ICSE,"Peking University, National Key Laboratory of Data Space Technology and System","Weakly-supervised Learning, Log Analysis, Anomaly Detection, Multi-instance Learning",,Yes,No,,No,No,Yes,No,No,Yes,https://github.com/hemh02/MIDLog,"F2: Paper title mentioned, detailed readme",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,Yes,No: infeasible,I1: Read writes to json files,Yes,"README, LICENSE",Yes,No,Yes,No,requirements.txt (pip),No,,,Yes,Yes,"Modular: Artefact is small, so does not need to be more modular","Good instructions in readme, missing a DOI but seems quite easy to find and reuse/reproduce",00:08:00
24/03/2026 15:29:31,When Quantum Meets Classical: Characterizing Hybrid Quantum-Classical Issues Discussed in Developer Forums,Jed,10.1109/ICSE55347.2025.00137,https://archive.softwareheritage.org/browse/origin/directory/?origin_url=https://github.com/jakezappin/HQC_Bug_Replication,2025,ICSE,William & Mary,Quantum Software Engineering,Artefact Available,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A study with no software artefact,00:04:00
24/03/2026 15:35:11,Improved Detection and Diagnosis of Faults in Deep Neural Networks Using Hierarchical and Explainable Classification,Jed,10.1109/ICSE55347.2025.00224,https://anonymous.4open.science/r/ICSE_2025-F42C,2025,ICSE,Dalhousie University,"Deep Neural Networks, Dynamic Analysis, Model fault, Static Analysis, Training fault",Artefact Available,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Yes,,The provided link does not work. I double and triple checked to make sure it matched the citation in the paper but it kept just saying the page wasn't found,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"Couldn't get the linked repository to work, or find a different repository online for the same artefact",00:05:00
24/03/2026 16:09:53,Lightweight Concolic Testing via Path-Condition Synthesis for Deep Learning Libraries,Jed,10.1109/ICSE55347.2025.00202,https://zenodo.org/records/14865594,2025,ICSE,UNIST,"Fuzzing, Concolic Testing, Deep Learning Libraries","Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14865594,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/starlab-unist/pathfinder-artifact,"F1.1: Artefact is small, so one DOI is sufficient; Both zenodo and github links cited in paper, very good!",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,"LICENSE, README",Yes,Yes,Yes,No,,No,,Docker,Yes,Yes,R3: Commenting is insufficient,"Very high quality artefact, good FAIR compliance",00:06:00
24/03/2026 16:17:05,Mock Deep Testing: Toward Separate Development of Data and Models for Deep Learning,Jed,10.1109/ICSE55347.2025.00220,https://github.com/Ruchira-1/KUnit,2025,ICSE,"Tulane University, Oakland University, Polytechnique Montreal","deep learning, mocks, testing",,Yes,No,,No,No,No,No,No,Yes,https://github.com/Ruchira-1/KUnit,"Cited in paper, but no DOI, and for F2, metadata is not very detailed",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No: infeasible,"I2: As far as i can tell the datasets used are external, but not referenced appropriately",No,README,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,,,Yes,No,"Weak commenting and documentation, no license","Low FAIR compliance, github only no DOI, cited in paper, but documentation leaves a lot to be desired",00:06:00
24/03/2026 16:23:14,Rug: Turbo Llm for Rust Unit Test Generation,Jed,10.1109/ICSE55347.2025.00097,https://github.com/CXWorks/rug,2025,ICSE,"Georgia Institute of Technology, George Mason University","Unit testing, Large language model, Rust",,Yes,No,,No,No,No,No,No,No,https://github.com/CXWorks/rug,"Small artefact, github only",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,"multiple READMEs, LICENSE",Yes,No,No: program uses external libraries but are not referenced appropriately,No,,No,,,Yes,No,"Documentation is weak, as well as commenting (R3)","Github only, not cited in paper, no DOI, weak documentation",00:06:00
24/03/2026 16:38:54,An Empirical Study of Proxy Contracts at the Ethereum Ecosystem Scale,Jed,10.1109/ICSE55347.2025.00083,https://zenodo.org/records/14566032,2025,ICSE,"The Ohio State University, George Mason University, Purdue University, Offside Labs",Blockchain,Artefact Available,Yes,Yes,https://doi.org/10.5281/zenodo.14566032,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/OSUSecLab/ProxyEx,Only github linked in paper,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,No,README,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,,,Yes,No,"R1.1: I did eventually find the license, but it was not clear, so i dont think it qualifies for this","Weak FAIR compliance despite DOI, Weak documentation and commenting",00:06:00
24/03/2026 17:08:20,Demystifying and Detecting Cryptographic Defects in Ethereum Smart Contracts,Jed,10.1109/ICSE55347.2025.00010,https://github.com/Jiashuo-Zhang/CrySol,2025,ICSE,"Peking University, Sun Yat-sen University, University of Electronic Science and Technology of China, Beijing Jiaotong University","Ethereum, smart contracts, defects detection, cryptography",,Yes,No,,No,No,No,No,No,Yes,https://github.com/Jiashuo-Zhang/CrySol,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,No,README,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,Inline comments,,No,No,R3: Lacking Documentation,"Weak FAIR Compliance, no DOI, weak documentation",00:08:00
24/03/2026 17:14:49,Chord: Towards a Unified Detection of Blockchain Transaction Parallelism Bugs,Jed,10.1109/ICSE55347.2025.00205,https://anonymous.4open.science/r/Chord-E070,2025,ICSE,"Tsinghua University, University of Electronic Science and Technology of China",Blockchain,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Repository has expired,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"Repository expired, unable to review artefact",00:06:00
24/03/2026 17:22:07,Definition and Detection of Centralization Defects in Smart Contracts,Jed,10.1109/ICSE55347.2025.00058,https://github.com/Zer0zw/CDRipper,2025,ICSE,"Sun Yat-sen University, Harbin Institute of Technology, Peng Cheng Laboratory","Smart Contracts, Centralization Defects, Defects Definition and Detection, Semantic Analysis",,Yes,No,,No,No,No,No,No,Yes,https://github.com/Zer0zw/CDRipper,"No Doi, github linked in paper though",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,"short README, LICENSE, CITATION, CONTRIBUTING, CODEOWNERS",Yes,No,Yes,Yes,requirements.txt (pip),No,Inline comments,Docker,Yes,No,,"No DOI, Weak documentation, weak metadata, but linked in paper and easy to find on google",00:07:00
24/03/2026 17:29:36,Fork State-Aware Differential Fuzzing for Blockchain Consensus Implementations,Jed,10.1109/ICSE55347.2025.00085,https://zenodo.org/records/14641017,2025,ICSE,"KAIST, ETH Zurich, National University of Singapore","Blockchain, consensus, differential fuzzing","Artefact Available, Artefact Functional",Yes,Yes,https://doi.org/10.5281/zenodo.14641017,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/NetSP-KAIST/forky/tree/main,"F1.1, F1.2: Artefact is small enough to only require one identifier",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,"LICENSE, README",Yes,No,No: program uses external libraries but are not referenced appropriately,Yes,,No,Inline comments,Docker,Yes,Yes,Good documentation,"DOI, Decent fair compliance, readme could have more information, commenting is okay but overall documentation could be better",00:07:00
24/03/2026 17:35:48,"Code Cloning in Solidity Smart Contracts: Prevalence, Evolution, and Impact on Development",Jed,10.1109/ICSE55347.2025.00123,https://github.com/dingling258/code-cloning-in-solidity,2025,ICSE,Central China Normal University,"Solidity Smart Contracts, Code Cloning, Clone Evolution, Blockchain",,Yes,No,,No,No,No,No,No,Yes,https://github.com/dingling258/code-cloning-in-solidity,"Could not find after a lot of google searching, but luckily it was linked in the paper",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,I1: xslx and xml files,No,short README,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,,,No,No,"Hard to follow, weak documentation, no LICENSE","Low fair compliance, no DOI, weak metadata and documentation",00:06:00
10/03/2026 12:04:48,THANOS: DBMS Bug Detection via Storage Engine Rotation Based Differential Testing,William,10.1109/ICSE55347.2025.00001,,2025,ICSE,"National University of Defense Technology,",Databases and business,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,09:00:00
10/03/2026 12:14:19,SpecGen: Automated Generation of Formal Program Specifications via Large Language Models,William,10.1109/ICSE55347.2025.00129,https://github.com/Lezhi-Ma/SpecGen-Artifact,2025,ICSE,"Nanjing University,",NIER,,Yes,No,,No,No,No,No,No,Yes,,,Yes,Yes,Not necessary,Software is currently available,,No,No,Yes,Infeasable,,No,No: no datasets used,No: infeasible,data is written,No,readme,Yes,Yes,No: program uses external libraries but are not referenced appropriately,No,,Yes,,,Yes,Yes,,,06:00:00
10/03/2026 12:26:03,Gpass: A Goal-Adaptive Neural Theorem Prover Based on Coq for Automated Formal Verification,William,10.1109/ICSE55347.2025.00116,https://github.com/chenpp1881/Gpass,2025,ICSE,Peking University,NIER,,Yes,No,,No,No,No,No,No,Yes,https://github.com/chenpp1881/Gpass,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,No,Infeasable,,Yes,Yes,No but no clear constraints not to,uses pickle files,No,README,Yes,Yes,No: program uses external libraries but are not referenced appropriately,No,,Yes,Docstrings,,Yes,Yes,,,10:20:00
10/03/2026 12:55:43,Formally Verified Binary-Level Pointer Analysis,William,10.1109/ICSE55347.2025.00231,https://ssrg-vt.github.io/FoxDec/,2025,ICSE,Open Universiteit & Virginia Tech,NIER,Artefact Available,Yes,No,,No,No,No,No,No,No,https://ssrg-vt.github.io/FoxDec/,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,No,Yes,No: infeasible,,No,readme,Yes,Yes,Yes,Yes,Gemfile (Ruby),Yes,Inline comments,Docker,Yes,Yes,,"extremely hard to find, available is a generous term",13:15:00
17/03/2026 11:38:36,EffBT: An Efficient Behavior Tree Reactive Synthesis and Execution Framework,William,10.1109/ICSE55347.2025.00225,https://zenodo.org/records/14241343,2025,ICSE,National University of Defense Technology,NIER,"Artefact Available, Artefact Functional",Yes,Yes,https://doi.org/10.5281/zenodo.14241343,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Not necessary,Software is currently available,"Download, restapi",No,No,Yes,"No, but no clear constraints not to",,Yes,Yes,No: infeasible,,No,Readme,Yes,Yes,Yes,No,,No,Inline comments,,Yes,Yes,,"inclueds a video displauing setup, pretty cool, have seen amywhere else",12:15:00
17/03/2026 11:45:48,An Empirical Study on Package-Level Deprecation in Python Ecosystem,William,10.1109/ICSE55347.2025.00046,,2025,ICSE,The Chinese University of Hong Kong,Program comprehension,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:00:00
17/03/2026 11:55:05,Datalog-Based Language-Agnostic Change Impact Analysis for Microservices,William,10.1109/ICSE55347.2025.00115,,,,,,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,06:10:00
17/03/2026 12:12:16,GenC2Rust: Towards Generating Generic Rust Code from C,William,10.1109/ICSE55347.2025.00127,https://github.com/immunant/c2rust,2025,ICSE,"University of California,",Program comprehension,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,No,,No,Yes,No,No,No,Yes,https://github.com/immunant/c2rust,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Yes,,Yes,No: no datasets used,Yes,,Yes,"readme, online maual,book.toml",Yes,Yes,Yes,Yes,cargo.toml,Yes,"Docstrings, Inline comments",Docker,Yes,Yes,,,14:00:00
19/03/2026 16:05:19,Instrumentation-Driven Evolution-Aware Runtime Verification,William,10.1109/ICSE55347.2025.00099,https://github.com/SoftEngResearch/imop,2025,ICSE, Cornell University,Program comprehension,,Yes,No,,Yes,No,No,No,No,Yes,,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,No,readme.md,No,No,No: program uses external libraries but are not referenced appropriately,No,,Yes,"Docstrings, Inline comments",Docker,Yes,Yes,,,08:00:00
19/03/2026 16:11:46,Moye: A Wallbreaker for Monolithic Firmware,William,10.1109/ICSE55347.2025.00053,,2025,ICSE,Institute of Information Engineering,Program comprehension,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,06:10:00
19/03/2026 16:43:33,Understanding and Detecting Peer Dependency Resolving Loop in npm Ecosystem,William,10.1109/ICSE55347.2025.00054,https://github.com/ZJU-SEC/PeerChecker,2025,ICSE,Zhejiang University,Program comprehension,,Yes,No,,Yes,No,No,No,No,No,https://github.com/ZJU-SEC/PeerChecker/tree/main,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,"citation.sff, readme",No,Yes,No: program uses external libraries but are not referenced appropriately,No,,No,Inline comments,,Yes,Yes,,,12:00:00
